Date,HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
21/03/2026,Hull,Sheffield Weds,3,1,5,3
21/03/2026,QPR,Portsmouth,6,1,8,7
21/03/2026,Sheffield United,Wrexham,1,2,7,4
21/03/2026,Southampton,Oxford,2,0,7,1
21/03/2026,Watford,Leicester,0,0,2,5
21/03/2026,Swansea,Coventry,0,3,2,7
03/04/2026,Middlesbrough,Millwall,1,2,5,5
03/04/2026,Birmingham,Blackburn,0,1,5,4
03/04/2026,Charlton,Bristol City,1,2,4,8
03/04/2026,Leicester,Preston,2,2,10,3
03/04/2026,Norwich,Portsmouth,1,1,2,1
03/04/2026,Oxford,Hull,1,1,4,2
03/04/2026,QPR,Watford,2,1,8,3
03/04/2026,Sheffield United,Swansea,3,3,4,6
03/04/2026,Stoke,Sheffield Weds,2,0,6,2
03/04/2026,West Brom,Wrexham,2,2,4,3
03/04/2026,Coventry,Derby,3,2,7,3
06/04/2026,Portsmouth,Oxford,2,2,3,3
06/04/2026,Millwall,Norwich,1,2,2,5
06/04/2026,Blackburn,West Brom,0,0,0,3
06/04/2026,Bristol City,Sheffield United,1,0,1,7
06/04/2026,Derby,Stoke,2,0,3,0
06/04/2026,Ipswich,Birmingham,2,1,5,4
06/04/2026,Preston,QPR,1,1,2,5
06/04/2026,Sheffield Weds,Leicester,1,1,1,12
06/04/2026,Watford,Charlton,1,1,10,4
06/04/2026,Swansea,Middlesbrough,2,2,3,6
06/04/2026,Hull,Coventry,0,0,5,1
07/04/2026,Wrexham,Southampton,1,5,2,9
10/04/2026,West Brom,Millwall,0,0,1,3
11/04/2026,Coventry,Sheffield Weds,0,0,3,0
11/04/2026,Norwich,Ipswich,0,2,3,5
11/04/2026,QPR,Bristol City,0,0,2,6
11/04/2026,Charlton,Preston,1,2,6,5
11/04/2026,Leicester,Swansea,0,1,6,1
11/04/2026,Middlesbrough,Portsmouth,0,1,8,1
11/04/2026,Oxford,Watford,2,0,6,3
11/04/2026,Sheffield United,Hull,2,1,7,4
11/04/2026,Southampton,Derby,2,1,5,4
11/04/2026,Stoke,Blackburn,1,1,3,3
12/04/2026,Birmingham,Wrexham,2,0,8,0
14/04/2026,Portsmouth,Ipswich,2,0,4,2
14/04/2026,Southampton,Blackburn,3,0,7,3
17/04/2026,Blackburn,Coventry,1,1,2,2
18/04/2026,Derby,Oxford,1,0,2,0
18/04/2026,Millwall,QPR,2,0,4,1
18/04/2026,Portsmouth,Leicester,1,0,2,3
18/04/2026,Bristol City,Norwich,2,4,6,9
18/04/2026,Hull,Birmingham,1,1,3,5
18/04/2026,Preston,West Brom,0,2,1,3
18/04/2026,Sheffield Weds,Charlton,1,1,2,3
18/04/2026,Swansea,Southampton,1,2,3,6
18/04/2026,Watford,Sheffield United,0,2,3,5
18/04/2026,Wrexham,Stoke,2,0,4,0
19/04/2026,Ipswich,Middlesbrough,2,2,5,9
21/04/2026,Coventry,Portsmouth,5,1,6,2
21/04/2026,Leicester,Hull,2,2,4,4
21/04/2026,Norwich,Derby,2,1,6,8
21/04/2026,Oxford,Wrexham,0,1,4,4
21/04/2026,QPR,Swansea,1,2,5,11
21/04/2026,Southampton,Bristol City,2,2,4,5
21/04/2026,Stoke,Millwall,1,3,4,6
21/04/2026,West Brom,Watford,3,0,6,3
22/04/2026,Birmingham,Preston,2,1,5,6
22/04/2026,Charlton,Ipswich,1,2,3,5
22/04/2026,Middlesbrough,Sheffield Weds,1,0,4,1
22/04/2026,Sheffield United,Blackburn,1,3,4,5
24/04/2026,Leicester,Millwall,1,1,3,4
25/04/2026,Charlton,Hull,2,1,7,4
25/04/2026,Middlesbrough,Watford,5,1,9,3
25/04/2026,West Brom,Ipswich,0,0,6,3
